id,title,company,location,employment_type,posted_date,description
1,バックエンドエンジニア,株式会社シンプル採用,東京都渋谷区,正社員,2024-04-01,Pythonを使ったWebアプリ開発
2,フロントエンドエンジニア,株式会社TechNext,東京都港区,正社員,2024-04-02,ReactでのUI実装
3,カスタマーサポート,株式会社ヘルプデスク,神奈川県川崎市,契約社員,2024-03-30,ユーザー対応・問い合わせ対応
4,マーケティング担当,株式会社プロモワークス,東京都千代田区,正社員,2024-04-03,広告運用・SEO対策
5,人事アシスタント,株式会社ヒューマンリンク,大阪府大阪市,アルバイト,2024-04-01,応募対応や日程調整など
6,営業職,株式会社リードセールス,福岡県福岡市,正社員,2024-04-01,法人営業・資料作成
7,UI/UXデザイナー,株式会社クリエイトスタジオ,京都府京都市,正社員,2024-04-04,Figmaを使ったUI設計
8,QAエンジニア,株式会社チェックテック,北海道札幌市,正社員,2024-03-29,テストケース作成・バグ報告
9,バックオフィス担当,株式会社業務サポート,神奈川県横浜市,契約社員,2024-04-05,経理・庶務など
10,広報,株式会社メディアライン,東京都新宿区,正社員,2024-04-02,SNS運用・プレスリリース作成
